6E
                         COMUNICADO  2019 - 2 - G0367                        -1- F
 
PARA         : EMPRESA ASOCIADA QUELBIN EIRL                                      
ASUNTO       : 40% EN EL 2DO PAR DE BOTAS Y/O ZAPATILLAS 
FECHA        : 19 de Julio del 2019
ÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄÄ
 
 
 Por medio del presente, tenemos a bien informarles que a partir 
 del 20 de Julio del 2019 al 23 de Julio del 2019 los siguientes 
 articulos se estaran incluidos en la promocion 40% al 2do par BOTAS Y/O ZAPATILLAS
 
 
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
         50143     35-01    889-7936    40% 2do        7
         50143     35-01    889-7960    40% 2do       10
         50143     35-01    889-7998    40% 2do        1
         50143     35-01    889-9968    40% 2do        8
         50143     35-02    501-9900    40% 2do        1
         50143     35-02    581-0901    40% 2do        5
         50143     35-02    581-0914    40% 2do        7
         50143     35-02    581-0917    40% 2do        9
         50143     35-02    581-0918    40% 2do        2
         50143     35-02    581-0919    40% 2do        6
         50143     35-02    581-0999    40% 2do        5
         50143     35-02    581-1904    40% 2do        6
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
       ----------------------------------------------------
 
         50143     35-02    581-1906    40% 2do        1
         50143     35-02    581-1919    40% 2do        1
         50143     35-02    581-1941    40% 2do        1
         50143     35-02    581-1951    40% 2do        5
         50143     35-02    581-1980    40% 2do        6
         50143     35-02    581-1981    40% 2do        1
         50143     35-02    581-1987    40% 2do        1
         50143     35-02    581-1991    40% 2do        6
         50143     35-02    581-1996    40% 2do        1
         50143     35-02    581-2905    40% 2do        1
         50143     35-02    581-2999    40% 2do        6
         50143     35-02    581-3307    40% 2do        9
         50143     35-02    581-3951    40% 2do        3
         50143     35-02    581-4901    40% 2do        5
         50143     35-02    581-4914    40% 2do        7
         50143     35-02    581-4918    40% 2do        9
         50143     35-02    581-4919    40% 2do        1
         50143     35-02    581-4923    40% 2do        8
         50143     35-02    581-4995    40% 2do        4
         50143     35-02    581-4996    40% 2do        9
         50143     35-02    581-4999    40% 2do        9
         50143     35-02    581-5300    40% 2do        9
         50143     35-02    581-5307    40% 2do        9
         50143     35-02    581-5900    40% 2do        1
         50143     35-02    581-5902    40% 2do        1
         50143     35-02    581-5910    40% 2do        5
         50143     35-02    581-5916    40% 2do        2
         50143     35-02    581-5917    40% 2do        7
         50143     35-02    581-5918    40% 2do        3
         50143     35-02    581-5919    40% 2do        4
         50143     35-02    581-5921    40% 2do        3
         50143     35-02    581-5923    40% 2do        7
         50143     35-02    581-5992    40% 2do        1
         50143     35-02    581-5994    40% 2do        6
         50143     35-02    581-5995    40% 2do        6
         50143     35-02    581-8302    40% 2do        7
         50143     35-02    581-8906    40% 2do        5
         50143     35-02    581-8916    40% 2do        3
         50143     35-02    581-9981    40% 2do        7
         50143     35-02    581-9996    40% 2do        2
         50143     35-02    586-2901    40% 2do        5
         50143     35-02    586-9901    40% 2do        4
         50143     35-02    589-2993    40% 2do        4
         50143     35-02    589-2994    40% 2do        5
         50143     35-02    589-4999    40% 2do        2
         50143     35-02    589-5930    40% 2do        7
         50143     35-02    589-5961    40% 2do        8
         50143     35-02    589-5969    40% 2do        6
         50143     35-02    589-5989    40% 2do        6
         50143     35-02    589-6960    40% 2do        1
         50143     35-02    589-6961    40% 2do        7
         50143     35-02    589-6969    40% 2do        1
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
       ----------------------------------------------------
 
         50143     35-02    589-6982    40% 2do        6
         50143     35-02    589-7930    40% 2do        5
         50143     35-02    601-1923    40% 2do        5
         50143     35-02    601-2901    40% 2do        2
         50143     35-02    601-6905    40% 2do        2
         50143     35-02    601-6907    40% 2do        1
         50143     35-02    601-6923    40% 2do        5
         50143     35-02    601-6965    40% 2do        1
         50143     35-02    601-9901    40% 2do        4
         50143     35-02    601-9905    40% 2do        2
         50143     35-02    681-1300    40% 2do        8
         50143     35-02    681-1912    40% 2do        3
         50143     35-02    681-1913    40% 2do        4
         50143     35-02    681-1915    40% 2do        3
         50143     35-02    681-1997    40% 2do        4
         50143     35-02    681-3914    40% 2do        7
         50143     35-02    681-3916    40% 2do        3
         50143     35-02    681-3917    40% 2do        7
         50143     35-02    681-3999    40% 2do        7
         50143     35-02    681-4999    40% 2do        8
         50143     35-02    681-5305    40% 2do       17
         50143     35-02    681-5903    40% 2do        1
         50143     35-02    681-5917    40% 2do        5
         50143     35-02    681-6300    40% 2do        8
         50143     35-02    681-6305    40% 2do        7
         50143     35-02    681-6900    40% 2do        3
         50143     35-02    681-6912    40% 2do        6
         50143     35-02    681-6915    40% 2do        7
         50143     35-02    681-6916    40% 2do        4
         50143     35-02    681-6923    40% 2do        6
         50143     35-02    681-6933    40% 2do        1
         50143     35-02    681-6994    40% 2do        3
         50143     35-02    681-6997    40% 2do        5
         50143     35-02    681-6998    40% 2do        6
         50143     35-02    681-8900    40% 2do        6
         50143     35-02    681-8998    40% 2do        6
         50143     35-03    381-1411    40% 2do        5
         50143     35-03    381-1414    40% 2do       12
         50143     35-03    381-5414    40% 2do        4
         50143     35-03    381-6411    40% 2do        5
         50143     35-03    389-2906    40% 2do        5
         50143     35-03    401-7912    40% 2do        6
         50143     35-03    401-7913    40% 2do        5
         50143     35-03    481-1414    40% 2do       15
         50143     35-03    481-1948    40% 2do        7
         50143     35-03    481-5413    40% 2do        6
         50143     35-03    481-5414    40% 2do        8
         50143     35-03    481-5998    40% 2do        1
         50143     35-03    481-6413    40% 2do        6
         50143     35-03    481-6948    40% 2do       14
         50143     35-03    481-7911    40% 2do        6
         50143     35-03    481-9917    40% 2do        6
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
       ----------------------------------------------------
 
         50143     35-03    489-1902    40% 2do        2
         50143     35-03    489-6901    40% 2do        7
         50143     35-03    489-6902    40% 2do        3
         50143     35-03    489-6951    40% 2do       10
         50143     35-03    489-7914    40% 2do        4
         50143     35-03    489-7919    40% 2do        6
         50143     35-03    489-9950    40% 2do        5
         50143     35-03    489-9967    40% 2do        8
         50143     36-01    381-6817    40% 2do        3
         50143     36-01    481-1801    40% 2do        2
         50143     36-01    481-6817    40% 2do        3
         50143     36-01    481-6820    40% 2do        5
         50143     36-01    581-1988    40% 2do        7
         50143     36-01    581-1992    40% 2do        1
         50143     36-01    581-4948    40% 2do        6
         50143     36-01    581-7937    40% 2do        2
         50143     36-01    581-7950    40% 2do        2
         50143     36-01    581-7987    40% 2do        6
         50143     36-01    581-9950    40% 2do        1
         50143     36-02    881-2988    40% 2do        4
         50143     36-02    881-4948    40% 2do        6
         50143     36-02    881-4968    40% 2do        4
         50143     36-02    881-5820    40% 2do        7
         50143     36-02    881-6817    40% 2do        6
         50143     36-02    881-6818    40% 2do        1
         50143     36-02    881-6820    40% 2do        1
         50143     36-02    881-6821    40% 2do        1
         50143     36-02    881-6919    40% 2do        1
         50143     36-02    881-6986    40% 2do        1
         50143     36-02    881-9801    40% 2do        1
         50143     36-02    884-1887    40% 2do        5
         50143     36-02    884-6887    40% 2do        7
         50143     37-02    581-1945    40% 2do        7
         50143     37-02    581-1990    40% 2do        1
         50143     37-02    581-1998    40% 2do        1
         50143     37-02    581-5915    40% 2do        1
         50143     37-02    581-5999    40% 2do        8
         50143     37-02    581-6945    40% 2do        2
         50143     37-02    581-6970    40% 2do        5
         50143     37-02    581-6979    40% 2do        7
         50143     37-02    581-7998    40% 2do        1
         50143     37-02    581-9990    40% 2do        3
         50143     37-02    589-0932    40% 2do        4
         50143     37-02    589-0933    40% 2do        3
         50143     37-02    589-0934    40% 2do        1
         50143     37-02    589-1901    40% 2do        2
         50143     37-02    589-1902    40% 2do        1
         50143     37-02    589-1910    40% 2do        1
         50143     37-02    589-1912    40% 2do        5
         50143     37-02    589-1922    40% 2do        1
         50143     37-02    589-1940    40% 2do        6
         50143     37-02    589-1951    40% 2do        4
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
       ----------------------------------------------------
 
         50143     37-02    589-2918    40% 2do        1
         50143     37-02    589-5903    40% 2do        1
         50143     37-02    589-5908    40% 2do        1
         50143     37-02    589-5911    40% 2do        2
         50143     37-02    589-5920    40% 2do        6
         50143     37-02    589-5933    40% 2do        5
         50143     37-02    589-5934    40% 2do        1
         50143     37-02    589-5936    40% 2do        2
         50143     37-02    589-5972    40% 2do        3
         50143     37-02    589-6940    40% 2do        4
         50143     37-02    589-6951    40% 2do        1
         50143     37-02    589-6963    40% 2do        8
         50143     37-02    589-7904    40% 2do        4
         50143     37-02    589-7911    40% 2do        1
         50143     37-02    589-7912    40% 2do        5
         50143     37-02    589-7913    40% 2do        3
         50143     37-02    589-7918    40% 2do        1
         50143     37-02    589-7922    40% 2do        1
         50143     37-02    589-7932    40% 2do        6
         50143     37-02    589-7936    40% 2do        5
         50143     37-02    589-7937    40% 2do        6
         50143     37-02    589-7938    40% 2do        6
         50143     37-02    589-7963    40% 2do        3
         50143     37-02    589-7972    40% 2do        3
         50143     37-02    589-8908    40% 2do        3
         50143     37-03    501-1919    40% 2do        2
         50143     37-03    501-1923    40% 2do        1
         50143     37-03    501-1980    40% 2do        2
         50143     37-03    501-5980    40% 2do        1
         50143     37-03    509-6933    40% 2do        1
         50143     38-02    809-7921    40% 2do        4
         50143     38-02    859-2914    40% 2do        3
         50143     38-02    881-1937    40% 2do        4
         50143     38-02    881-2916    40% 2do        3
         50143     38-02    881-6040    40% 2do        5
         50143     38-02    881-7916    40% 2do        3
         50143     38-02    881-7974    40% 2do        7
         50143     38-02    889-0919    40% 2do        5
         50143     38-02    889-1908    40% 2do        1
         50143     38-02    889-1911    40% 2do        7
         50143     38-02    889-1919    40% 2do        3
         50143     38-02    889-2942    40% 2do        3
         50143     38-02    889-2957    40% 2do        2
         50143     38-02    889-2980    40% 2do        2
         50143     38-02    889-2992    40% 2do        6
         50143     38-02    889-5909    40% 2do        2
         50143     38-02    889-5910    40% 2do        2
         50143     38-02    889-5914    40% 2do        3
         50143     38-02    889-5969    40% 2do        2
         50143     38-02    889-6914    40% 2do        8
         50143     38-02    889-6985    40% 2do        5
         50143     38-02    889-6990    40% 2do        4
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
       ----------------------------------------------------
 
         50143     38-02    889-6992    40% 2do        6
         50143     38-02    889-7900    40% 2do        4
         50143     38-02    889-7910    40% 2do        1
         50143     38-02    889-7930    40% 2do        7
         50143     38-02    889-7969    40% 2do        1
         50143     38-02    889-7990    40% 2do        3
         50143     38-02    889-9914    40% 2do        1
         50143     38-02    889-9927    40% 2do        1
         50143     38-02    889-9957    40% 2do        9
         50143     38-02    889-9969    40% 2do        4
         50143     38-02    889-9984    40% 2do        4
         50143     39-02    289-1912    40% 2do        3
         50143     39-02    381-1965    40% 2do        2
         50143     39-02    389-1912    40% 2do        2
         50143     39-02    389-5935    40% 2do        2
         50143     39-02    389-6905    40% 2do        3
         50143     39-02    389-9913    40% 2do        3
         50143     39-02    389-9936    40% 2do        3
         50143     39-02    481-6040    40% 2do        1
         50143     39-02    489-1010    40% 2do        2
         50143     39-02    489-1905    40% 2do        1
         50143     39-02    489-1912    40% 2do       10
         50143     39-02    489-1938    40% 2do        6
         50143     39-02    489-2926    40% 2do        2
         50143     39-02    489-5915    40% 2do        7
         50143     39-02    489-5926    40% 2do        2
         50143     39-02    489-6914    40% 2do        1
         50143     39-02    489-6926    40% 2do        4
         50143     39-02    489-6938    40% 2do        6
         50143     39-02    489-7925    40% 2do       11
         50143     39-02    489-7949    40% 2do        6
         50143     39-02    489-9905    40% 2do        2
         50143     39-02    489-9914    40% 2do        6
         50143     39-02    489-9915    40% 2do        6
         50143     39-02    489-9938    40% 2do        2
         50143     39-03    409-9904    40% 2do        1
         50143     42-05    589-5803    40% 2do        1
         50143     42-05    589-9803    40% 2do        3
         50143     48-02    281-1301    40% 2do        1
         50143     48-02    281-1306    40% 2do        1
         50143     48-02    281-1958    40% 2do        2
         50143     48-02    381-1303    40% 2do        1
         50143     48-02    381-1981    40% 2do        1
         50143     48-02    581-1308    40% 2do        1
         50143     48-02    581-1309    40% 2do        1
         50143     48-02    589-1977    40% 2do        1
         50143     48-03    284-1304    40% 2do        1
         50143     48-03    284-1905    40% 2do        1
         50143     48-03    384-1304    40% 2do        1
         50143     48-03    384-1305    40% 2do        1
         50143     48-03    384-1898    40% 2do        1
         50143     48-03    384-6306    40% 2do        1
       ----------------------------------------------------
      |Articulos del 40% EN EL 2DO PAR BOTAS Y/O ZAPATILLAS|
      |----------------------------------------------------|
      |        |      ARTICULO        |           |        |
      | TIENDA |  CAT-SUB |  CODIGO   | PROMOCION | STOCK  |
       ----------------------------------------------------
 
         50143     48-03    584-1301    40% 2do        2
         50143     48-03    584-1307    40% 2do        1
         50143     48-04    281-1940    40% 2do        1
         50143     48-04    481-1941    40% 2do        1
         50143     48-40    281-1932    40% 2do        1
         50143     48-40    281-1980    40% 2do        1
         50143     48-40    381-1932    40% 2do        1
         50143     48-40    381-1939    40% 2do        1
         50143     48-40    381-1972    40% 2do        2

       ----------------------------------------------------------------


 Agradeciendo la atenci¢n al presente.

 Atentamente,



    -------------------------
      DPTO.DE MERCADERIA    
      EMPRESAS COMERCIALES S.A.

